variable,hr_media,heliofania,recorrido_viento,temp_aire_media
hr_media,1,-0.5403715883379931,-0.13932580866466948,-0.07870588396337302
heliofania,-0.5403715883379931,1,-0.0663763050097679,0.23195591790716377
recorrido_viento,-0.13932580866466948,-0.0663763050097679,1,0.02105272398006181
temp_aire_media,-0.07870588396337302,0.23195591790716377,0.02105272398006181,1
