termino,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),0.3778416176197564,0.06811264725358235,5.547304837720634,2.936992659989502e-8
hr_media,0.005855440425756406,5.786974889730023e-4,10.118309716788104,5.219871540123112e-24
heliofania,-0.1265449348098375,0.0019557336199350324,-64.70458630968425,0
recorrido_viento,0.0017900523714079097,7.723512843942351e-5,23.176660770518048,2.541536577804584e-117
temp_aire_media,0.020018438584607744,0.0017737804514584435,11.285747662935465,1.886053446998997e-29
mes2,0.02324677428089819,0.029862716552102302,0.7784547745460098,0.43630996561888513
mes3,-0.10137630561840237,0.03009016177464689,-3.3690847652344345,7.555750792765745e-4
mes4,-0.12791416284677545,0.032770081168045646,-3.9033825455246514,9.516174038187451e-5
mes5,-0.2605926378957002,0.036340220939744906,-7.170915067571668,7.703747167901115e-13
mes6,-0.42186794809989697,0.038892191480717604,-10.847111773299154,2.443237207192736e-27
mes7,-0.32223696381584216,0.038970921265444804,-8.268651429125105,1.4367071302720636e-16
mes8,-0.20217076349153074,0.03709839262879272,-5.449582830028663,5.1071463462673496e-8
mes9,-0.14519694649180553,0.0354289165202869,-4.098260989964639,4.178711519241703e-5
mes10,-0.04722329090882237,0.032579278715573985,-1.449488532913654,0.14721653570130533
mes11,0.034438169556501065,0.030869811975385374,1.1155937581984947,0.26460917464890216
mes12,0.037651200917562355,0.029828106322575335,1.262272586478818,0.20686511292485865
estacionLas Brujas,0.14027327945148926,0.021162039738878476,6.62853303284286,3.474936469606175e-11
estacionSalto Grande,0.053281806920500156,0.022196551336340183,2.4004542918911556,0.016383615101811546
estacionTacuarembo<U+0301> La Magnolia,0.11440177358855563,0.021493308844664875,5.322669227681653,1.0333350794218302e-7
estacionTacuaremno<U+0301> Glencore,-0.03851999220062315,0.026737772316421403,-1.4406582472454343,0.14969656661152073
estacionTreinta y Tres Paso de la Laguna,-0.09454409509881583,0.020825656610154418,-4.539789398655354,5.663144349805133e-6
